Timestamp,RTT (ms)
1750242650,37.433
1750242651,67.15
1750242655,22.429
1750242657,15.053
1750242658,27.614
1750242659,15.482
1750242660,17.037
1750242662,19.954
1750242663,16.446
1750242664,28.229
1750242665,48.167
1750242666,23.156
1750242667,14.641
1750242668,17.275
1750242669,31.318
1750242670,16.436
1750242671,17.274
1750242672,17.344
1750242673,20.429
1750242674,14.377
1750242675,17.93
1750242676,17.043
1750242678,74.215
1750242680,29.155
1750242684,15.325
1750242686,41.983
1750242687,51.364
1750242688,19.422
1750242689,15.582
1750242691,21.073
1750242692,16.776
1750242693,16.409
1750242697,14.684
1750242701,19.48
1750242703,20.692
1750242707,15.635
1750242711,15.174
1750242712,17.262
1750242716,63.848
1750242719,125.586
1750242722,15.807
1750242724,26.707
1750242725,26.996
1750242727,60
1750242728,69.396
1750242729,18.561
1750242732,15.144
1750242733,17.833
1750242740,69.523
1750242748,15.246
1750242758,18.934
1750242769,15.834
1750242772,75.777
1750242775,15.289
1750242778,19.335
1750242779,15.691
1750242780,15.913
1750242782,67.553
1750242783,57.364
1750242784,64.526
1750242786,51.498
1750242788,14.717
1750242791,16.019
1750242798,17.196
1750242800,17.031
1750242809,27.3
1750242810,76.662
1750242811,84.973
1750242812,55.401
1750242813,38.918
1750242814,30.222
1750242815,55.166
1750242816,15.002
1750242819,60.221
1750242820,60.987
1750242821,60.135
1750242822,20.151
1750242831,27.637
1750242833,29.602
1750242836,31.195
1750242839,23.009
1750242840,17.481
1750242841,20.79
1750242842,41.636
1750242843,47.395
1750242844,53.049
1750242845,26.272
1750242846,26.201
1750242847,46.376
1750242848,20.138
1750242849,17.951
1750242850,21.087
1750242851,39.293
1750242852,19.692
1750242853,33.048
1750242854,23.312
1750242856,58.108
1750242857,109.761
1750242858,61.092
1750242859,37.665
1750242860,20.608
1750242861,18.305
1750242862,38.822
1750242863,15.746
1750242864,46.836
1750242865,16.84
1750242866,52.632
1750242867,16.751
1750242868,24.764
1750242869,16.061
1750242870,47.057
1750242871,16.946
1750242872,20.453
1750242873,17.081
1750242874,47.899
1750242875,15.519
1750242876,25.871
1750242877,28.063
1750242878,21.378
1750242879,23.296
1750242880,37.509
1750242881,17.192
1750242882,29.461
1750242883,41.071
1750242884,29.881
1750242885,76.518
1750242886,57.009
1750242887,29.669
1750242888,17.788
1750242889,47.205
1750242890,22.71
1750242891,68.705
1750242892,46.302
1750242895,67.97
1750242898,26.284
1750242899,23.113
1750242906,26.791
1750242909,38.968
1750242910,55.048
1750242911,44.502
1750242913,17.191
1750242915,47.776
1750242917,16.591
1750242919,43.317
1750242923,17.79
1750242924,16.672
1750242925,72.216
1750242927,15.65
1750242930,21.224
1750242931,17.616
1750242933,85.103
1750242935,20.991
1750242936,29.717
1750242938,20.278
1750242939,20.957
1750242941,23.142
1750242945,15.209
1750242950,15.91
1750242952,25.089
1750242955,24.823
1750242962,15.573
1750242967,23.223
1750242975,33.084
1750242984,18.42
1750242985,36.784
1750242988,19.675
1750242991,60
1750242993,25.105
1750242994,16.844
1750242995,16.136
1750242997,23.079
1750242998,45.573
1750243000,26.264
1750243001,21.639
1750243002,51.217
1750243003,21.502
1750243004,62.506
1750243005,23.327
1750243007,24.213
1750243008,15.962
1750243009,17.726
1750243010,16.453
1750243011,33.803
1750243012,18.283
1750243013,18.732
1750243014,22.256
1750243015,18.163
1750243016,26.831
1750243017,17.105
1750243018,39.923
1750243019,27.195
1750243020,31.142
1750243021,192.242
1750243025,27.839
1750243028,15.204
1750243034,40.92
1750243036,37.46
1750243039,32.253
1750243041,43.894
1750243046,30.646
1750243048,16.103
1750243052,22.629
1750243055,23.922
1750243059,74.054
1750243060,43.806
1750243063,25.085
1750243068,16.661
1750243069,20.772
1750243070,26.797
1750243071,47.875
1750243072,43.045
1750243073,31.724
1750243074,15.928
1750243076,17.869
1750243077,17.602
1750243078,35.513
1750243080,26.794
1750243081,16.564
1750243082,24.237
1750243083,34.601
1750243085,23.114
1750243086,18.131
1750243088,21.489
1750243090,21.553
1750243091,19.382
1750243092,37.307
1750243096,17.073
1750243098,19.423
1750243099,35.63
1750243100,28.706
1750243101,21.664
1750243102,15.473
1750243103,16.866
1750243104,27.569
1750243105,16.74
1750243106,23.779
1750243107,21.468
1750243108,17.293
1750243109,31.506
1750243110,32.283
1750243111,36.567
1750243112,23.417
1750243113,15.534
1750243114,18.746
1750243115,33.76
1750243116,21.679
1750243117,40.891
1750243118,25.046
1750243119,32.532
1750243120,20.679
1750243121,17.135
1750243122,19.019
1750243123,50.166
1750243124,15.208
1750243125,20.786
1750243126,37.3
1750243127,22.295
1750243128,19.681
1750243129,40.352
1750243130,23.447
1750243131,24.357
1750243132,16.903
1750243133,19.842
1750243134,22.185
1750243135,32.723
1750243136,27.129
1750243137,19.718
1750243138,40.596
1750243139,28.705
1750243140,21.25
1750243141,54.431
1750243143,37.26
1750243144,25.593
1750243145,27.897
1750243147,16.392
1750243148,29.348
1750243149,25.079
1750243150,22.722
1750243151,18.45
1750243153,18.481
1750243155,18.73
1750243156,22.919
1750243157,32.597
1750243158,17.011
1750243161,22.482
1750243162,39.313
1750243163,16.582
1750243165,32.042
1750243167,15.157
1750243170,26.497
1750243171,16.831
1750243172,27.235
1750243174,18.58
1750243175,21.396
1750243176,31.152
1750243177,23.51
1750243178,15.655
1750243179,21.215
1750243181,17.142
1750243182,55.699
1750243183,41.509
1750243184,17.166
1750243185,20.187
1750243186,16.469
1750243187,17.007
1750243188,14.378
1750243190,23.201
1750243191,15.009
1750243192,42.252
1750243194,105.921
1750243195,22.212
1750243196,44.037
1750243197,25.674
1750243198,47.188
1750243200,60
1750243203,37.815
1750243207,38.865
1750243209,39.883
1750243210,30.638
1750243211,57.626
1750243214,39.993
1750243215,25.721
1750243218,18.403
